name href,name,address
https://www.booking.com/hotel/th/sivatel-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=26418826_88875110_0_41_0_84576&highlighted_blocks=26418826_88875110_0_41_0_84576&matching_block_id=26418826_88875110_0_41_0_84576&sr_pri_blocks=26418826_88875110_0_41_0_84576_580229&from=searchresults,โรงแรมศิวาเทล กรุงเทพ,
https://www.booking.com/hotel/th/valiahotelbangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=2715215_380137323_2_2_0_1154075&highlighted_blocks=2715215_380137323_2_2_0_1154075&matching_block_id=2715215_380137323_2_2_0_1154075&sr_pri_blocks=2715215_380137323_2_2_0_1154075_256174&from=searchresults,โรงแรมวาลีอา (Valia Hotel Bangkok),
https://www.booking.com/hotel/th/radisson-suites-bangkok-sukhumvit.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=29018212_94396708_2_2_0&highlighted_blocks=29018212_94396708_2_2_0&matching_block_id=29018212_94396708_2_2_0&sr_pri_blocks=29018212_94396708_2_2_0__268375&from=searchresults,โรงแรม เรดิสัน สวีท แบงค็อก สุขุมวิท,
https://www.booking.com/hotel/th/chi-bangkok-sha-extra-plus.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=817874208_344348442_2_2_0_146142&highlighted_blocks=817874208_344348442_2_2_0_146142&matching_block_id=817874208_344348442_2_2_0_146142&sr_pri_blocks=817874208_344348442_2_2_0_146142_176235&from=searchresults,The Fig Lobby Bangkok,
https://www.booking.com/hotel/th/tha.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=143448402_96206069_2_0_0_1123198&highlighted_blocks=143448402_96206069_2_0_0_1123198&matching_block_id=143448402_96206069_2_0_0_1123198&sr_pri_blocks=143448402_96206069_2_0_0_1123198_143699&from=searchresults,THA City Loft by TH District,
https://www.booking.com/hotel/th/chatrium-suites-bangkok-a-dusit-thani-hotels-partner.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=4425913_88871377_2_1_0_47674&highlighted_blocks=4425913_88871377_2_1_0_47674&matching_block_id=4425913_88871377_2_1_0_47674&sr_pri_blocks=4425913_88871377_2_1_0_47674_583200&from=searchresults,โรงแรมชาเทรียม ริเวอร์ไซด์ กรุงเทพฯ,
https://www.booking.com/hotel/th/oakwood-studios-sukhumvit-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=860006801_356302651_0_42_0&highlighted_blocks=860006801_356302651_0_42_0&matching_block_id=860006801_356302651_0_42_0&sr_pri_blocks=860006801_356302651_0_42_0__247876&from=searchresults,โรงแรมโอ๊ควู้ด สตูดิโอ สุขุมวิท แบงค็อก,
https://www.booking.com/hotel/th/the-ex-capital-bangkok-by-dancenter.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=1486340901_420130341_2_0_0&highlighted_blocks=1486340901_420130341_2_0_0&matching_block_id=1486340901_420130341_2_0_0&sr_pri_blocks=1486340901_420130341_2_0_0__122157&from=searchresults,The Ex Capital Hotel Bangkok by Dancenter,
https://www.booking.com/hotel/th/akyra-thonglor-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=28546107_119582871_2_42_0_1116200&highlighted_blocks=28546107_119582871_2_42_0_1116200&matching_block_id=28546107_119582871_2_42_0_1116200&sr_pri_blocks=28546107_119582871_2_42_0_1116200_406899&from=searchresults,"MUU Bangkok, Small Luxury Hotels of the World",
https://www.booking.com/hotel/th/aphrodite-inn-bangkok.th.html?label=gen173nr-10CAEoggI46AdIM1gEaN0BiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKdnfrGBsACAdICJDZlZjViYjlkLWRkZGEtNDFlOS1hZjg3LTk2MDE3M2UxMTYyZtgCAeACAQ&sid=f984b2f021f44e6d576f13f392f756a4&aid=304142&ucfs=1&arphpl=1&checkin=2025-10-23&checkout=2025-10-24&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=d5b267a0c5c1003e&srepoch=1759416263&all_sr_blocks=4362512_89654155_0_1_0&highlighted_blocks=4362512_89654155_0_1_0&matching_block_id=4362512_89654155_0_1_0&sr_pri_blocks=4362512_89654155_0_1_0__245754&from=searchresults,อะโฟรดิเต้ อินน์ กรุงเทพ,"59-65 ถนนราชดำริ , ปทุมวัน, 10330 กรุงเทพมหานคร, ไทย"
